fecha,"IPC General histórico, variación mensual","IPC sin volátiles, variación mensual","Velocidad de expansión (porcentaje), referencia 2018",Tasa de desempleo mensual nacional INE (porcentaje),Precio del cobre refinado BML (dólares/libra),Precio del petróleo WTI (dólares/barril),"IPC Energía volátiles, variación mensual","Índice de producción industrial, minería, INE (base 2014=100)","Índice de producción industrial, manufacturera, INE (base 2014=100)"
2005-06-01,0.4,0.1618111849806,1.6607619478393,,1.59850766578971,56.39,1.27478543658952,83.5380881582104,85.7476418704902
2005-07-01,0.6,0.2405221628353,1.4572482102613,,1.63939490156945,58.67,3.55683449011439,84.4389891089361,87.7230602289022
2005-08-01,0.3,0.1148118632908,2.2607582927165,,1.72264809942847,64.96,0.618426731054056,93.5298987026238,88.5278578199542
2005-09-01,1,0.2882243643165,2.4313185479438,,1.74990474462488,65.54,3.66025802958203,88.3701932575578,87.5767298419769
2005-10-01,0.5,0.2174417153516,2.4011909650925,,1.84149505579243,62.36,1.26486712208949,92.7108978383276,90.1374530020582
2005-11-01,-0.2,0.1566772320627,1.2312621463202,,1.93655992016692,58.28,-4.89366245558556,95.6593009497938,90.8690881906528
2005-12-01,-0.3,0.1651234778239,1.2023313155894,,2.0760092533793,59.41,-2.81419769896722,109.909915988547,92.7713441466075
2006-01-01,0.1,0.0215028018471,1.3751458451754,,2.14747800054432,65.48,2.6011694977417,84.1932888496473,90.7227633857382
2006-02-01,-0.1,0.2257945532577,1.6177569875857,,2.2600018143881,61.62,-0.211809297250576,78.2964826267148,84.2112090908436
2006-03-01,0.6,0.9156904571134,0.9043711309889,,2.3146375759775,62.89,0.790440645904167,89.5986945540021,98.3317648815873
2006-04-01,0.6,0.4466978948179,0.962065033656,,2.89747800054432,69.54,3.87038163842639,88.2882931711282,92.1860337629275
2006-05-01,0.2,0.1235698719311,1.2003002080528,,3.6495781547673,70.93,1.82162482774875,92.3832974926091,93.5761417376595
2006-06-01,0.6,0.0717634450805,2.0757931218485,,3.26481447881702,70.93,2.40517603021357,91.3185963690241,88.0888778231995
2006-07-01,0.5,0.2291907182855,1.9822879865493,,3.49818561190239,74.4,0.521024292911099,91.8918969740314,90.1374530020582
2006-08-01,0.3,0.0230742048179,1.6243456064822,,3.49072847682119,73.04,2.09093970591487,83.4561880717807,89.7716354077609
2006-09-01,0,0.1027737080797,1.3613509662184,,3.44840787444434,63.82,-3.27190046508963,81.2448857381811,85.3818242761929
2006-10-01,-0.3,0.101210470496,1.7726292148342,,3.40215458586592,58.85,-4.26038503896922,98.8534043205489,94.4541073131063
2006-11-01,-0.2,0.2521066944307,2.1739323313006,,3.18841513199673,59.13,-1.47361893078333,95.5774008633642,92.9176689515222
2006-12-01,0.1,0.2441475054639,2.1348312371391,,3.02781003356618,62,0.595903270857545,105.896811753496,93.8687969294995
2007-01-01,0.3,0.204209806895,1.3039436379966,,2.57174090537966,54.24,0.926510442069772,88.9434938625651,93.2834865458195
2007-02-01,-0.2,0.1975611469119,0.8570769539754,,2.57482082917536,59.25,0.666449384294077,79.1973835774406,88.1620402256569
2007-03-01,0.4,0.7410161225879,1.0260613073484,,2.92682572802322,60.6,1.92123914854065,100.000005530564,103.233729576242
2007-04-01,0.6,0.4501842462485,1.5640215706187,,3.52284768211921,63.94,1.63562284195595,92.7108978383276,97.0148304731877
2007-05-01,0.6,0.3767546189611,1.9014668487772,,3.48460945296199,63.45,2.6115690140083,95.9869012955123,96.4295200895808
2007-06-01,0.9,0.3973197295489,1.0167009922918,,3.39103692279779,67.49,2.88564551225516,93.7755989619126,94.1614465393288
2007-07-01,1.1,0.7775746934492,0.0155559504411,,3.61694184886147,74.14,2.02579694650098,91.4823965418833,93.6493041401168
2007-08-01,1.1,0.701928082529,-0.461335781449,,3.40810124285585,72.38,0.493173633509025,87.8787927389801,93.5029793352022
2007-09-01,1.1,0.6750450071582,0.2749251688596,,3.46955456772204,79.91,0.514152507049048,96.3145016412307,86.4061146566276
2007-10-01,0.3,0.4548939828567,1.4487927291787,,3.63260001814388,85.9,0.938697114101683,97.9525033698231,98.9902432496622
2007-11-01,0.8,0.4874418851501,1.9489578977437,,3.160074389912,94.76,3.97610062954616,93.3660985297645,96.9416624887928
2007-12-01,0.5,0.3973848726477,1.8797402074183,,2.98814750975234,91.36,2.07851113209887,105.569211407778,97.0148304731877
2008-01-01,0,0.318902793627,1.8365298437233,,3.20285766125374,92.98,-0.24728189698825,88.0425929118393,97.3806436019496
2008-02-01,0.4,0.2218001110739,2.1474900734402,,3.5778327134174,95.38,0.510743370311673,84.1113887632177,93.2103241433622
2008-03-01,0.8,1.3064939063721,2.1072858985355,,3.82803683207838,105.47,-1.90316718889794,91.4004964554537,102.20943361387
2008-04-01,0.4,0.727537291636,1.5672154651868,,3.93945840515286,112.62,-0.492640220186713,84.8484895410842,101.331473620361
2008-05-01,1.2,0.7263848676096,0.4849797014433,,3.80239045631861,125.37,1.87912130004986,90.909095936876,94.1614465393288
2008-06-01,1.5,0.5526105869871,0.0987205449005,,3.74698357978772,133.93,5.67694838350545,94.1031993076311,93.2834865458195
