fecha,"IPC General histórico, variación mensual"
2022-01-01,0.3
2022-02-01,1.9
2022-03-01,1.4
2022-04-01,1.2
2022-05-01,0.9
2022-06-01,1.4
2022-07-01,1.2
2022-08-01,0.9
2022-09-01,0.5
2022-10-01,1.0
2022-11-01,0.3
2022-12-01,0.8
